,QCOM,TEAM,TSLA,BABA,PYACX,VWEHX,gold,palladium,^GSPC
mean,0.0009215207957483562,0.002284555538560479,0.0013178830858869214,0.0010826556534709727,0.0002579346489057582,0.00027639742182315036,0.00035475139637534427,0.0014610843564491986,0.0004856189583505646
median,0.0009423294383716918,0.0029390154298309934,0.0008587903324746016,0.0010072183985225802,0.0,0.0,0.0002677854146211356,0.0021448001673991524,0.0006026346765155566
std,0.019844360823638083,0.028470723794377192,0.029267383118924472,0.01967011855494604,0.0023685591613848596,0.002547774174991912,0.007604668008064797,0.016671937800041003,0.00813403283537528
var,0.0003937986564987419,0.0008105821133757156,0.0008565797146299052,0.00038691356396563245,5.610072500980149e-06,6.491153246755718e-06,5.783097551288422e-05,0.00027795351000843604,6.616249016696322e-05
min,-0.12720470336718337,-0.15874999999999995,-0.13901534859521336,-0.06817061143984227,-0.013157894736842146,-0.013461538461538525,-0.03343488194973354,-0.07404618473895586,-0.040979244278871785
max,0.2321620652563643,0.32285714285714295,0.17669231977383393,0.13291945240369318,0.007738607050730817,0.011650485436893065,0.04523189958671381,0.07407573783747368,0.049593807154098
kurtosis,23.53318742458443,22.612033692909545,5.175446834890247,2.7948313826218723,1.1336407366615937,4.391525784554389,3.516792668302739,1.6895173495503535,4.354179819703663
skewness,1.3699097536139642,1.6093565514252004,0.3166997808199772,0.2417280117439195,-0.316738099782989,-0.33949091117053953,0.2907591612235382,-0.27865141308154817,-0.5594173660625745
alpha,,,,,,,,,
beta,,,,,,,,,
r-squared,,,,,,,,,
